cohort_decade,round,survey_year,mean_lit,se,V_W,V_B,n_obs
1950,1,2014,262.3220020188735,0.9244882210349944,0.018958747785239885,0.7597452027701899,1203
1960,1,2014,267.0463934700056,0.7301183135078703,0.03040808317743113,0.45696788049285963,1273
1960,2,2023,248.76601116288617,1.4025549874529197,1.433770411185612,0.48490007422131637,939
1970,1,2014,275.48214796726467,0.8318216619623598,0.032493221547592446,0.5994855052383908,1226
1970,2,2023,257.62206648527314,1.771784666677011,2.5080967949461463,0.5737491910232915,664
1980,1,2014,281.0957997581574,0.9674658621782987,0.02966281563457925,0.8239339807689269,2051
1980,2,2023,263.2007123996462,2.028075198389893,2.7428898224637344,1.2456356253276988,799
1990,1,2014,273.21507754110434,0.996529394311004,0.023259671314167004,0.881646511283354,2002
1990,2,2023,265.9701565063128,1.5567080654691423,2.0967339109762757,0.2969146273821851,765
2000,2,2023,261.22931059181,1.7160101456822445,1.6690236825490385,1.1596973977594178,591
