cohort_decade,college_share_r1,college_share_r2,n_obs_r1,n_obs_r2,change_pp
1950,0.1857063459624409,0.2197405512616446,864,207,3.4034205299203704
1960,0.23079206124459833,0.206252603859565,1062,861,-2.4539457385033323
1970,0.30534128254455895,0.37347294438613177,963,844,6.813166184157282
1980,0.3906118700722547,0.4191459117449738,1162,1027,2.8534041672719113
1990,0.12232050637491343,0.44416121899214794,1054,1105,32.18407126172345
