cohort_decade,pl1_share_r1,pl1_share_r2,se_r1,se_r2,n_obs_r1,n_obs_r2,change,se_change,direction
1960,0.20566533264600811,0.31509663139430166,0.007905890192945821,0.013235103281741345,1273,939,0.10943129874829355,0.015416583882990338,increase
1970,0.15782934953468625,0.28099664052965445,0.007994030959175218,0.013940221961126282,1226,664,0.1231672909949682,0.016069670790085255,increase
1980,0.12681924286940738,0.25293582603860243,0.005466257580601803,0.015493145034867392,2051,799,0.12611658316919505,0.01642916659508092,increase
1990,0.1376256700115619,0.23890802292921445,0.005749788712208628,0.011093039786549243,2002,765,0.10128235291765256,0.012494622921121159,increase
