cohort_decade,mean_lit_r1,mean_lit_r2,se_r1,se_r2,n_obs_r1,n_obs_r2,change,se_change,direction
1950,193.42629926705214,179.32707645396553,0.8089571202800974,2.55306163586214,864,207,-14.099222813086612,2.6781589457989483,decline
1960,206.21689776834634,182.28405479047214,1.219929739676741,1.3574351173983747,1062,861,-23.932842977874202,1.825064017423526,decline
1970,220.3859508240538,207.94758670661258,1.147494238266179,1.7142750360438195,963,845,-12.43836411744121,2.062881946708807,decline
1980,235.2922776402406,220.09053297896295,0.8618279033558489,1.5384073017923081,1163,1029,-15.201744661277644,1.7633616648919836,decline
1990,237.02709318572062,239.40627556094833,0.8303593063845804,1.221979084358015,1056,1106,2.379182375227714,1.477406328776188,improvement
