cohort_decade,mean_lit_r1,mean_lit_r2,se_r1,se_r2,n_obs_r1,n_obs_r2,change,se_change,direction
1960,267.0463934700056,248.76601116288617,0.7301183135078703,1.4025549874529197,1273,939,-18.280382307119453,1.5812125867664464,decline
1970,275.48214796726467,257.62206648527314,0.8318216619623598,1.771784666677011,1226,664,-17.86008148199153,1.957331903991142,decline
1980,281.0957997581574,263.2007123996462,0.9674658621782987,2.028075198389893,2051,799,-17.895087358511205,2.247015621842581,decline
1990,273.21507754110434,265.9701565063128,0.996529394311004,1.5567080654691423,2002,765,-7.24492103479156,1.8483535470311234,decline
