cohort_decade,round,survey_year,college_share,n_obs
1940,1,2014,0.2771813702862803,84
1950,1,2014,0.1857063459624409,864
1950,2,2023,0.2197405512616446,207
1960,1,2014,0.23079206124459833,1062
1960,2,2023,0.206252603859565,861
1970,1,2014,0.30534128254455895,963
1970,2,2023,0.37347294438613177,844
1980,1,2014,0.3906118700722547,1162
1980,2,2023,0.4191459117449738,1027
1990,1,2014,0.12232050637491343,1054
1990,2,2023,0.44416121899214794,1105
2000,2,2023,0.06550060513378343,676
