country,country_name,pop_16_65,lit_rate_16_65,num_rate_16_65,lit_pop_16_65,num_pop_16_65,pop_16_64_est,lit_rate_16_64_est,num_rate_16_64_est,lit_pop_16_64_est,num_pop_16_64_est
CHL,Chile,12276284.891942196,0.5281666023377755,0.615379501176303,6483923.6807076745,7554574.073101574,12091202.03010554,0.5236087241467131,0.6109294530360895,6331058.868383709,7386871.442801232
MEX,Mexico,79852864.1887911,0.49982680097139615,0.5967621152879585,39912601.655886814,47653164.14510505,78937669.73413321,0.49513321961593504,0.5919144273154686,39084662.56444073,46724345.57429706
ECU,Ecuador,10493189.000000061,0.7078030979171431,0.765103111792949,7427111.6812301325,8028371.5565315895,10372376.29497283,0.7034649225099545,0.7607044427822361,7296602.88658715,7890312.729794981
PER,Peru,20836440.000000007,0.7009436835649345,0.7476398296374689,14605171.00597975,15578152.451851347,20602051.39791122,0.6940320982343159,0.7405938369098914,14298484.959623545,15257752.292993864
