cohort_decade,pl1_share_r1,pl1_share_r2,se_r1,se_r2,n_obs_r1,n_obs_r2,change,se_change,direction
1950,0.7381412376400498,0.8257318855855155,0.011685786200477624,0.017489804163890697,864,207,0.08759064794546567,0.02103451565438391,increase
1960,0.64565309101666,0.8025291968713709,0.009752589181352104,0.016664207511553016,1062,861,0.1568761058547109,0.01930825750108813,increase
1970,0.5279409514230351,0.6186555582182336,0.011049072085765256,0.014907846955546002,963,845,0.0907146067951985,0.018556020446378562,increase
1980,0.41642814785051885,0.507381282397347,0.015883335209304853,0.015340478979593926,1163,1029,0.09095313454682818,0.022081907360880452,increase
1990,0.3787267211179125,0.36425706593577944,0.0132492402188583,0.01315288254719039,1056,1106,-0.014469655182133057,0.018669244378849346,decrease
